Date,N,P25,P50,P75,TrimAvg,>150,Bins
2026-02-15,9,15.0,22.0,28.0,26.1,0,1;2;4;0;1;1;0;0;0;0;0;0;0;0;0;0
2026-02-16,19,13.0,34.0,106.0,37.9,3,4;2;3;3;1;0;0;0;0;1;0;0;1;1;0;3
2026-02-17,35,22.5,57.0,154.5,42.9,10,5;2;5;1;4;1;2;1;1;0;0;1;2;0;0;10
2026-02-19,32,11.0,49.0,142.0,46.0,6,8;3;0;3;2;3;1;1;0;1;0;0;1;0;3;6
2026-02-20,25,9.0,18.0,60.0,22.3,4,9;5;1;3;0;0;2;0;1;0;0;0;0;0;0;4
2026-02-25,27,5.0,32.0,64.0,33.6,2,9;3;1;2;3;0;3;1;1;1;1;0;0;0;0;2
2026-03-02,51,7.0,34.0,74.5,41.9,2,16;6;2;7;3;2;1;2;2;1;2;0;1;4;0;2
2026-03-17,29,11.0,24.0,49.0,24.2,5,6;6;4;1;5;1;0;1;0;0;0;0;0;0;0;5
2026-03-19,39,4.5,14.0,49.5,30.2,1,17;4;2;2;4;3;0;2;0;2;1;0;0;1;0;1
2026-03-20,34,3.2,9.0,26.2,19.0,0,18;6;4;2;0;1;1;0;0;1;0;1;0;0;0;0
